,date,open,high,low,close,volume,average,barCount
332,2022-09-28 11:04:00,3701.33,3705.58,3701.33,3705.58,0.0,0.0,107
333,2022-09-28 11:06:00,3705.53,3705.78,3703.94,3704.35,0.0,0.0,111
334,2022-09-28 11:08:00,3704.34,3705.02,3703.9,3704.73,0.0,0.0,108
335,2022-09-28 11:10:00,3704.69,3705.11,3703.33,3705.03,0.0,0.0,113
336,2022-09-28 11:12:00,3705.27,3705.82,3702.6,3703.41,0.0,0.0,112
337,2022-09-28 11:14:00,3703.72,3704.33,3702.05,3703.22,0.0,0.0,114
338,2022-09-28 11:16:00,3703.2,3703.21,3699.92,3701.49,0.0,0.0,111
339,2022-09-28 11:18:00,3701.39,3703.03,3701.31,3702.16,0.0,0.0,113
340,2022-09-28 11:20:00,3702.18,3702.24,3699.98,3701.57,0.0,0.0,115
341,2022-09-28 11:22:00,3701.99,3702.15,3700.13,3700.13,0.0,0.0,113
342,2022-09-28 11:24:00,3700.14,3700.75,3697.95,3698.37,0.0,0.0,113
343,2022-09-28 11:26:00,3698.4,3701.7,3697.87,3701.7,0.0,0.0,109
344,2022-09-28 11:28:00,3701.72,3702.61,3701.3,3702.24,0.0,0.0,114
345,2022-09-28 11:30:00,3702.26,3705.62,3702.16,3705.13,0.0,0.0,113
346,2022-09-28 11:32:00,3705.09,3707.38,3704.99,3707.38,0.0,0.0,111
347,2022-09-28 11:34:00,3707.39,3709.8,3707.19,3709.33,0.0,0.0,109
348,2022-09-28 11:36:00,3709.32,3711.42,3709.32,3710.65,0.0,0.0,112
349,2022-09-28 11:38:00,3710.71,3711.36,3710.25,3710.91,0.0,0.0,109
350,2022-09-28 11:40:00,3710.85,3710.85,3705.99,3705.99,0.0,0.0,114
351,2022-09-28 11:42:00,3705.88,3705.88,3702.14,3704.1,0.0,0.0,113
352,2022-09-28 11:44:00,3703.99,3706.16,3703.97,3704.33,0.0,0.0,111
353,2022-09-28 11:46:00,3704.44,3706.29,3704.07,3706.29,0.0,0.0,108
354,2022-09-28 11:48:00,3706.28,3707.3,3705.57,3707.26,0.0,0.0,99
355,2022-09-28 11:50:00,3707.3,3710.09,3707.3,3708.9,0.0,0.0,110
356,2022-09-28 11:52:00,3708.94,3710.66,3708.94,3709.11,0.0,0.0,109
357,2022-09-28 11:54:00,3708.97,3710.37,3708.59,3708.99,0.0,0.0,111
358,2022-09-28 11:56:00,3709.02,3710.78,3708.87,3708.96,0.0,0.0,107
359,2022-09-28 11:58:00,3708.93,3710.03,3708.76,3708.79,0.0,0.0,113
360,2022-09-28 12:00:00,3708.68,3712.78,3707.82,3712.35,0.0,0.0,112
361,2022-09-28 12:02:00,3712.37,3716.74,3712.37,3716.56,0.0,0.0,114
362,2022-09-28 12:04:00,3716.73,3717.07,3715.31,3716.46,0.0,0.0,111
363,2022-09-28 12:06:00,3716.25,3723.31,3715.51,3723.06,0.0,0.0,110
364,2022-09-28 12:08:00,3723.12,3723.7,3721.1,3721.52,0.0,0.0,109
365,2022-09-28 12:10:00,3721.54,3724.0,3720.02,3723.49,0.0,0.0,113
366,2022-09-28 12:12:00,3723.35,3723.59,3721.85,3721.88,0.0,0.0,114
367,2022-09-28 12:14:00,3721.81,3722.74,3721.01,3721.02,0.0,0.0,118
368,2022-09-28 12:16:00,3721.1,3722.99,3720.54,3720.58,0.0,0.0,112
369,2022-09-28 12:18:00,3720.54,3720.79,3718.14,3718.69,0.0,0.0,111
370,2022-09-28 12:20:00,3718.8,3720.53,3716.96,3719.03,0.0,0.0,113
371,2022-09-28 12:22:00,3718.99,3721.15,3718.43,3720.01,0.0,0.0,114
372,2022-09-28 12:24:00,3720.08,3722.15,3719.57,3722.15,0.0,0.0,120
373,2022-09-28 12:26:00,3722.18,3724.57,3721.62,3723.06,0.0,0.0,111
374,2022-09-28 12:28:00,3722.95,3723.69,3721.6,3722.16,0.0,0.0,109
375,2022-09-28 12:30:00,3722.29,3727.94,3722.29,3725.92,0.0,0.0,115
376,2022-09-28 12:32:00,3725.93,3729.79,3725.83,3727.67,0.0,0.0,116
377,2022-09-28 12:34:00,3727.68,3730.15,3727.47,3729.93,0.0,0.0,114
378,2022-09-28 12:36:00,3729.91,3730.38,3729.29,3729.4,0.0,0.0,112
379,2022-09-28 12:38:00,3729.44,3729.75,3726.6,3727.64,0.0,0.0,110
380,2022-09-28 12:40:00,3727.65,3730.69,3727.49,3730.17,0.0,0.0,114
381,2022-09-28 12:42:00,3730.16,3733.5,3729.67,3731.0,0.0,0.0,117
382,2022-09-28 12:44:00,3730.86,3732.31,3729.49,3731.98,0.0,0.0,117
383,2022-09-28 12:46:00,3732.03,3733.91,3731.4,3733.0,0.0,0.0,112
384,2022-09-28 12:48:00,3732.98,3736.74,3732.51,3734.92,0.0,0.0,115
385,2022-09-28 12:50:00,3734.29,3734.29,3729.02,3730.5,0.0,0.0,113
386,2022-09-28 12:52:00,3730.51,3734.35,3730.51,3734.35,0.0,0.0,117
387,2022-09-28 12:54:00,3734.24,3734.48,3727.09,3727.73,0.0,0.0,116
388,2022-09-28 12:56:00,3727.74,3730.45,3725.03,3726.01,0.0,0.0,117
389,2022-09-28 12:58:00,3725.71,3725.71,3717.69,3717.69,0.0,0.0,116
390,2022-09-29 06:30:00,3687.01,3687.01,3679.94,3680.12,0.0,0.0,119
391,2022-09-29 06:32:00,3680.26,3680.55,3673.71,3675.37,0.0,0.0,117
392,2022-09-29 06:34:00,3675.6,3676.51,3668.86,3668.86,0.0,0.0,116
393,2022-09-29 06:36:00,3668.45,3669.32,3666.31,3668.87,0.0,0.0,117
394,2022-09-29 06:38:00,3669.16,3669.18,3663.97,3665.02,0.0,0.0,115
395,2022-09-29 06:40:00,3664.99,3665.75,3656.52,3657.44,0.0,0.0,119
396,2022-09-29 06:42:00,3657.21,3657.77,3650.04,3650.04,0.0,0.0,114
397,2022-09-29 06:44:00,3650.08,3650.68,3641.88,3645.76,0.0,0.0,117
398,2022-09-29 06:46:00,3645.91,3648.15,3643.92,3645.94,0.0,0.0,118
399,2022-09-29 06:48:00,3646.06,3647.56,3641.86,3643.5,0.0,0.0,119
400,2022-09-29 06:50:00,3643.78,3651.29,3643.59,3650.92,0.0,0.0,119
401,2022-09-29 06:52:00,3650.66,3652.61,3646.8,3646.99,0.0,0.0,118
402,2022-09-29 06:54:00,3646.91,3652.27,3646.91,3649.33,0.0,0.0,116
403,2022-09-29 06:56:00,3649.28,3649.28,3646.38,3647.85,0.0,0.0,117
404,2022-09-29 06:58:00,3647.75,3647.75,3644.82,3645.28,0.0,0.0,116
405,2022-09-29 07:00:00,3645.1,3645.43,3636.34,3636.34,0.0,0.0,118
406,2022-09-29 07:02:00,3636.22,3636.66,3630.43,3630.84,0.0,0.0,119
407,2022-09-29 07:04:00,3630.83,3636.16,3630.25,3635.04,0.0,0.0,116
408,2022-09-29 07:06:00,3634.82,3637.04,3631.68,3636.56,0.0,0.0,116
409,2022-09-29 07:08:00,3636.44,3636.92,3630.0,3630.0,0.0,0.0,116
410,2022-09-29 07:10:00,3629.62,3632.98,3628.74,3630.85,0.0,0.0,118
411,2022-09-29 07:12:00,3630.75,3630.75,3626.94,3626.94,0.0,0.0,116
412,2022-09-29 07:14:00,3626.84,3626.84,3622.29,3622.29,0.0,0.0,116
